Hand,2,3,4,5,6,7,8,9,10
22,5748,4623,4706,3568,2944,3246,3367,1214,1770
33,5430,4555,4218,4024,4376,3144,2598,1505,1879
44,5823,4592,4088,3584,3967,4227,2174,2470,1211
55,6261,4961,4621,4135,4135,2681,2258,1508,204
66,5382,5170,4622,3974,3860,2734,2339,1887,1226
77,5382,5138,4246,3880,2935,2688,2712,2275,1695
88,6289,5413,4264,3546,3237,2722,2761,1515,760
99,5883,5006,4616,3711,3744,2681,2213,2052,1591
TT,5265,5726,3775,4377,2888,3594,2487,1332,1492
JJ,5771,4867,3796,4250,3856,3710,3571,1699,1789
QQ,5268,6360,4140,3511,3379,2714,3363,2159,1559
KK,5267,5312,4393,4049,3312,2583,2718,1203,1013
AA,5620,4571,4655,4375,3855,3235,2519,2220,2098
32s,4543,4464,5237,3165,3722,2723,2560,1990,1420
32,4637,5241,4928,4271,3319,3316,2806,2276,1486
42s,5218,4888,4420,3668,4079,3101,1988,2111,1033
42,4993,5357,4490,4285,2959,2242,2371,2682,1278
52s,5657,5236,3998,3618,3807,3773,1665,2062,1057
52,5045,4963,4490,3097,3796,3897,2699,1785,1413
62s,4793,4576,4355,3186,3345,2693,2823,2061,2355
62,6232,4242,4661,4024,3663,2806,2258,2271,814
72s,5387,4776,4086,4129,2874,3142,3286,2024,693
72,5533,5428,4759,3547,3962,3167,1887,2020,2235
82s,4787,5107,5266,4319,3407,3329,1767,1649,1395
82,5227,4377,4445,3169,3238,4005,2612,1668,1165
92s,5555,5086,4700,3966,4024,2911,3023,1298,2019
92,4924,5192,4845,3394,3147,2600,3341,2874,1197
T2s,5687,4558,4299,3674,2795,2310,2270,1378,2413
T2,5199,5076,4612,4023,2721,2634,3039,1653,1838
J2s,5354,5029,4506,3569,3803,2983,2480,1640,1256
J2,5199,4428,4548,3807,2859,3897,2413,2447,2578
Q2s,6426,5178,4113,4503,4377,2741,2941,1852,1197
Q2,5493,5280,4512,3711,2459,3111,2826,2623,1871
K2s,4971,5541,4748,4417,4348,2991,1711,1663,1649
K2,5911,5526,5225,3435,3605,3594,3238,2139,2150
A2s,4889,4311,4979,4264,3451,4263,3190,1582,2280
A2,5604,4531,5576,4720,3227,2734,2187,3072,1516
43s,4520,5257,4116,2764,3699,2755,2697,1406,1123
43,4835,5256,4936,3601,3481,3522,2747,2154,1729
53s,5598,5257,4591,4288,4051,3340,2630,2316,1161
53,5869,6926,5594,3898,3557,3923,2224,2206,2506
63s,5585,5285,4095,4185,3575,3291,2164,1907,1568
63,5442,5567,4080,3698,3318,2820,2487,1935,1317
73s,5349,5477,4200,4043,3471,3295,3086,2021,1592
73,4760,5325,3438,3922,3653,3554,2771,1926,826
83s,5140,4842,4237,4583,2644,3410,2314,2481,1014
83,5269,5379,4120,4127,2825,3253,2885,3105,2100
93s,6028,4613,4575,4168,3871,3533,1075,1721,1171
93,5671,4881,4670,3794,3585,3584,3074,1315,976
T3s,4618,4757,5438,3756,3408,3691,1630,1955,1768
T3,5662,5040,4975,3783,3509,3324,2318,3289,2092
J3s,5307,6157,4211,4197,3673,2916,1940,1598,1859
J3,5161,4066,4050,3789,3230,3073,1852,2819,1998
Q3s,5805,5343,4745,4144,3110,3603,3080,2838,1121
Q3,6015,4193,3839,5037,3597,2591,2266,1723,789
K3s,5965,4764,5415,4435,3010,3184,2673,2284,2250
K3,5080,5544,5089,3836,3704,2803,2476,2814,1338
A3s,5345,5032,4265,4600,2648,3014,2738,1810,1374
A3,5665,4461,3643,3795,4014,3639,2538,1898,2164
54s,5987,4642,5176,2980,3736,3095,1858,1709,1778
54,5260,5339,4442,3495,3628,3023,2998,1492,1727
64s,5407,4634,5118,3064,3991,2320,2253,1675,2582
64,4946,5108,3702,3824,4332,3373,1721,1388,1178
74s,4901,5022,4200,4009,4007,3322,2285,2017,1963
74,5906,4674,4502,4838,2579,4081,3250,1615,1528
84s,6178,6071,4523,4163,2860,2846,2925,2116,1634
84,5463,5316,4274,3890,3187,3109,2325,1222,2264
94s,6001,3987,4811,4414,3513,3124,2325,2165,1753
94,5680,5093,3966,2894,3758,3788,2339,2416,1769
T4s,5177,4669,4428,4117,3137,2952,3538,1003,2036
T4,5680,5426,4560,4385,3593,3139,2690,2187,1317
J4s,6269,4603,4757,3260,3122,3303,2715,2613,1080
J4,5482,4942,4855,4571,3194,3093,3015,1395,977
Q4s,6282,5252,3937,4169,2796,2776,2619,2836,516
Q4,4190,5432,3732,3792,3038,3097,2370,2209,2528
K4s,5910,4399,5138,4316,2824,3536,2401,1647,948
K4,5543,4832,4666,5135,3012,2486,2464,1972,1389
A4s,5350,4762,4125,4090,4026,3066,2481,2279,1361
A4,5545,4673,5275,4124,3025,2649,2863,2038,1653
65s,4506,5882,4557,3770,4816,3597,2525,2269,1907
65,5390,5202,5089,3575,3746,2238,2866,1539,1930
75s,5678,4369,4533,4415,3592,2720,2459,2084,1208
75,6238,5458,5530,3571,3070,3188,2539,1293,1416
85s,5240,6061,5377,4035,3850,3782,1500,1944,1641
85,5095,5516,4375,3761,3212,2967,2958,1548,1375
95s,5249,4240,4985,4239,3561,2722,2673,1632,2303
95,5957,4757,4822,4166,4780,3940,2999,2618,1745
T5s,5664,5633,5184,4518,3451,2275,1051,2545,1867
T5,5235,4646,4017,3744,4074,1900,3544,2304,1831
J5s,5756,5221,4843,3865,3148,3220,2430,1453,2086
J5,5548,5387,5029,3510,3482,2748,3054,1841,1590
Q5s,5984,4536,3620,3777,4385,2489,1980,2606,851
Q5,5148,4970,3908,4188,3186,3354,2806,2070,1699
K5s,5336,3379,3480,4378,4406,3121,1973,3159,1174
K5,5303,4487,4365,3538,3853,2717,2188,2196,1235
A5s,4768,4873,4858,4434,3218,2359,3457,2096,1793
A5,5648,4376,5251,4677,3816,3436,2404,1845,2119
76s,5630,5816,4537,4206,3986,3325,2608,2066,1510
76,5502,4284,5314,4938,3810,2950,2935,1923,1654
86s,5382,4779,3809,3613,2714,3923,2747,2354,2351
86,4792,5065,3648,3377,3136,2464,2575,2478,1620
96s,5289,5720,4472,3110,3376,2237,2682,1607,2800
96,5328,4282,4692,4748,3462,2654,3701,1334,1782
T6s,5098,5581,4483,4327,3810,2977,2471,1081,619
T6,5419,5005,3466,3972,3588,3121,2600,2253,1876
J6s,5702,4509,4455,4139,2832,2879,3025,1448,1690
J6,6443,5231,3847,3437,3690,3176,3052,923,2144
Q6s,5587,5099,4834,5222,3805,2374,3093,2194,1836
Q6,5628,4699,4683,4064,3779,3721,2819,3246,1430
K6s,5462,5034,4030,4054,4040,2958,1928,1996,887
K6,4540,4807,4243,4362,3916,3558,3316,2419,1395
A6s,5486,5056,3970,4240,3729,3171,1926,2040,1074
A6,5530,5331,4468,4111,3464,3228,2651,1950,1209
87s,6731,5793,4977,3604,2669,3284,2122,2459,1794
87,5403,4381,4007,4235,3714,3223,2467,1854,2334
97s,5650,6066,4752,4941,3603,3321,2664,2133,1697
97,5482,4023,4234,4672,3635,3664,2660,2160,902
T7s,4915,4924,4103,4796,2861,3098,2710,1665,1722
T7,6071,5294,4446,3744,2959,3354,3306,2496,2098
J7s,5875,5140,3982,3505,4026,2955,2726,1912,1195
J7,5895,4688,4223,3937,3480,3720,2377,1622,1432
Q7s,5045,4895,3901,4027,3840,2661,2982,2268,1507
Q7,6201,4753,5482,4547,3514,3900,3094,1550,1107
K7s,4799,4705,4517,3153,3514,2979,1886,2014,1824
K7,5793,5424,4150,4764,3969,2284,2798,1995,1439
A7s,6595,5178,4606,3920,3241,3064,2850,2542,1709
A7,5004,4653,4443,3786,3548,2659,2351,2237,1056
98s,5216,5449,4389,3493,3268,3420,3187,1987,1281
98,5549,5153,4807,3172,3282,2673,2424,2408,1861
T8s,5248,5406,4878,4411,3345,2776,2562,2695,1313
T8,4724,5314,4234,4036,3611,2055,2413,2278,2363
J8s,5534,4585,4212,3355,3260,2773,2507,2005,1300
J8,4968,4719,4362,3352,4127,1788,1951,1344,1612
Q8s,5736,5373,3349,3832,3052,2208,1779,1467,1966
Q8,5040,5305,3742,4834,3406,3380,3297,1847,790
K8s,6274,4989,5183,3870,3280,3392,2076,1695,619
K8,5108,5058,5322,3248,4223,3212,2004,1906,737
A8s,5338,5638,4375,3877,3598,2516,1423,2028,2131
A8,5906,4704,4788,3863,4015,2976,2180,2264,1224
T9s,4884,5273,4655,2651,2757,2998,1838,1964,2779
T9,5613,4898,6039,3972,3633,2420,3321,2243,1217
J9s,6153,4891,5059,3884,3944,3751,3004,2032,1592
J9,4696,5549,4436,4348,3541,3438,2155,1012,2271
Q9s,5592,5412,4022,4924,4032,2889,3626,1530,2503
Q9,5629,5406,3696,4563,3241,3013,2990,1927,2530
K9s,5890,5652,4601,3865,4204,3104,2337,1395,2104
K9,4881,5010,4121,3446,4649,1979,1250,2299,2012
A9s,4839,5340,3788,5286,3318,2876,3645,2765,1796
A9,5760,4844,4176,4029,3277,2659,1805,2609,1889
JTs,5648,5162,3959,4006,4226,2499,1677,1893,1224
JT,5625,4934,5343,3987,4289,2859,3011,2745,1090
QTs,5673,5048,4940,4099,3238,3898,3719,2074,1498
QT,5159,5297,4496,3927,3289,3320,3192,1831,1414
KTs,5616,4590,5239,3713,3359,2714,2781,1693,1273
KT,5646,6046,4538,3726,2827,3286,2797,1848,1848
ATs,5142,4496,4069,3983,3040,3699,2926,1805,1977
AT,6432,4392,5261,3728,2997,3462,2879,2085,1544
QJs,5736,5579,4769,3643,3116,3029,2640,2080,2238
QJ,4904,5395,3981,4053,3482,2676,2552,2001,929
KJs,5828,5312,4404,3872,3617,3349,2468,2218,1403
KJ,5012,5314,4062,4751,4275,3196,2123,2595,1141
AJs,5893,4993,3808,2674,3000,3447,2359,2474,566
AJ,6079,4551,4963,4545,3992,3317,1653,1257,1458
KQs,5089,5037,5454,4623,3393,3524,2450,723,1439
KQ,5981,4661,3800,2963,3475,2732,2005,2467,2256
AQs,5706,5487,4781,3828,3837,3658,1948,1316,1815
AQ,5911,4926,4174,3814,2938,3098,2589,1887,987
AKs,6448,4587,4256,3296,3691,4037,3196,1414,2427
AK,5377,4839,4203,3611,3583,2655,2959,1099,2110
